,FileName,Label,TourLength0,Time0,TourLength1,Time1 ,Tdiff,newLabel
0,TSP-28-7-1-0.csv,0,4.853,0.0041638999999946,4.929,0.0001861000000005,0.003977799999994099,0
1,TSP-98-4-1-1.csv,0,5.447,0.0796647999999962,6.539,0.0022171999999969,0.07744759999999931,0
2,TSP-60-5-0-2.csv,0,4.138,0.0363743999999996,4.756,0.0005055999999967,0.0358688000000029,0
3,TSP-115-3-1-3.csv,0,6.293,0.2119769000000033,6.564,0.0024348999999972,0.2095420000000061,1
4,TSP-79-5-2-4.csv,0,3.167,0.0023273000000045,3.212,8.680000000538257e-05,0.0022404999999991173,0
5,TSP-96-5-0-5.csv,0,6.368,0.1385998000000015,6.75,0.0013830000000041,0.1372167999999974,1
6,TSP-45-7-3-6.csv,0,3.094,0.0038173000000014,3.816,0.0001910000000009,0.0036263000000005,0
7,TSP-27-5-3-7.csv,0,3.177,0.0016432999999977,3.177,8.489999999738984e-05,0.0015584000000003102,0
8,TSP-129-8-1-8.csv,0,7.357,0.1080329999999989,8.039,0.003657099999998,0.1043759000000009,1
9,TSP-22-10-1-9.csv,0,4.853,0.0035410999999996,4.929,0.0001735000000024,0.0033675999999972,0
10,TSP-42-5-1-10.csv,0,4.124,0.0192162999999965,4.375,0.0005535000000023,0.018662799999994203,0
11,TSP-55-3-3-11.csv,0,3.747,0.0070171999999999,4.126,0.0003060999999959,0.006711100000004,0
12,TSP-45-4-3-12.csv,0,3.253,0.0052907999999973,3.373,0.000233399999999,0.0050573999999983,0
13,TSP-73-6-2-13.csv,0,3.123,0.0021494000000004,3.146,8.559999999846468e-05,0.0020638000000019353,0
14,TSP-151-7-1-14.csv,0,6.637,0.1318910999999971,6.752,0.003716500000003,0.1281745999999941,1
15,TSP-94-4-0-15.csv,0,7.217,0.0904726999999994,7.736,0.0016644999999968,0.08880820000000261,0
16,TSP-30-4-1-18.csv,0,4.853,0.0038112000000012,4.929,0.0001871999999991,0.0036240000000021,0
17,TSP-161-3-3-19.csv,0,5.202,0.0774349,6.479,0.0035651000000029,0.0738697999999971,0
18,TSP-128-7-2-20.csv,0,6.863,0.0321447999999975,6.905,0.0011488000000028,0.0309959999999947,0
19,TSP-21-2-0-21.csv,0,4.377,0.0051774000000008,5.044,8.689999999944575e-05,0.005090500000001354,0
20,TSP-102-1-3-22.csv,0,4.156,0.065881400000002,4.5,0.001186600000004,0.064694799999998,0
21,TSP-110-10-0-23.csv,0,6.42,0.1755648999999977,7.812,0.0019294999999956,0.1736354000000021,1
22,TSP-174-7-3-24.csv,0,4.965,0.0897830000000041,5.91,0.0044859999999999,0.0852970000000042,0
