FileName,Label,Colours0,Time0,Colours1,Time1
"128-7689r328","1","62","0.0017807483673095703","59","0.022065401077270508"
"175-3272r392","1","14","0.0011353492736816406","12","0.03687334060668945"
"100-4587r582","1","46","0.0011222362518310547","43","0.01419377326965332"
"119-3058r978","1","19","0.0012018680572509766","17","0.018467426300048828"
"21-64r593","1","4","0.0001430511474609375","3","0.0010120868682861328"
"74-1496r486","1","17","0.0004975795745849609","16","0.0073812007904052734"
"132-7216r514","1","45","0.0017032623291015625","42","0.022826194763183594"
"164-12132r906","1","70","0.002613544464111328","68","0.03555154800415039"
"197-14861r621","1","58","0.003740549087524414","53","0.05313849449157715"
"144-5348r783","1","26","0.0014064311981201172","25","0.025871992111206055"
"171-8061r315","0","30","0.0018973350524902344","30","0.0361025333404541"
"58-582r841","1","9","0.00033926963806152344","8","0.004221677780151367"
"147-3447r37","1","17","0.0010590553283691406","15","0.02732229232788086"
"37-382r110","1","10","0.00020313262939453125","9","0.0018558502197265625"
"133-6325r408","1","35","0.0015881061553955078","34","0.025156021118164062"
"139-1999r740","1","12","0.0007834434509277344","11","0.022561311721801758"
"123-5037r967","1","30","0.0012896060943603516","29","0.02062678337097168"
"157-7999r64","1","38","0.0018880367279052734","34","0.03448677062988281"
"167-13618r253","1","92","0.0031282901763916016","90","0.03852105140686035"
"123-7359r428","1","70","0.0018849372863769531","69","0.024965524673461914"
"111-3761r100","1","25","0.001003265380859375","23","0.023009061813354492"
"79-2491r175","1","28","0.0009975433349609375","27","0.008374214172363281"
"127-7725r759","1","64","0.001768350601196289","62","0.025943279266357422"
"71-1764r783","1","21","0.0005676746368408203","19","0.006579875946044922"
"135-1354r187","1","9","0.0006585121154785156","8","0.028938770294189453"
"195-10363r313","1","35","0.0023500919342041016","33","0.051935434341430664"
"83-1295r775","1","13","0.0004870891571044922","11","0.008837699890136719"
"182-15142r757","1","78","0.0033457279205322266","73","0.0437929630279541"
"69-2112r219","1","33","0.0006020069122314453","29","0.006662607192993164"
"89-3612r625","1","41","0.001855611801147461","38","0.022634506225585938"
"163-602r557","1","5","0.0006067752838134766","4","0.06070828437805176"
"186-12782r378","1","50","0.01271963119506836","48","0.10855627059936523"
"131-8109r652","1","63","0.0020704269409179688","62","0.03206610679626465"
"198-11652r601","1","39","0.002611398696899414","36","0.05001401901245117"
"157-1073r63","1","7","0.0007522106170654297","6","0.02880716323852539"
"58-636r398","1","10","0.0003058910369873047","8","0.00435185432434082"
"119-1606r879","1","11","0.0006840229034423828","9","0.016800880432128906"
"13-68r697","0","8","8.153915405273438e-05","8","0.0003063678741455078"
"96-822r310","1","8","0.0004482269287109375","7","0.011049509048461914"
"85-2669r597","1","27","0.0007259845733642578","25","0.011115074157714844"
"164-1985r208","1","9","0.0008776187896728516","8","0.03330636024475098"
"59-516r907","1","8","0.0002963542938232422","7","0.004376411437988281"
"124-2805r764","1","17","0.0009043216705322266","16","0.01851058006286621"
"100-2024r518","1","16","0.0006608963012695312","14","0.012315988540649414"
"185-9823r22","0","36","0.002265453338623047","36","0.04778265953063965"
"18-48r407","1","4","0.00011372566223144531","3","0.0004780292510986328"
"174-8634r261","1","34","0.0020208358764648438","32","0.03856968879699707"
"183-15613r219","1","81","0.006625652313232422","79","0.04580521583557129"
"52-311r782","1","7","0.00024366378784179688","5","0.0044612884521484375"
"166-10448r848","1","47","0.002301931381225586","45","0.03544783592224121"
"53-1246r328","1","25","0.0003986358642578125","23","0.0038416385650634766"
"187-13886r272","1","57","0.00293731689453125","54","0.04732489585876465"
"173-9823r750","1","40","0.0022284984588623047","37","0.038616180419921875"
"53-846r666","1","14","0.00033283233642578125","13","0.0036618709564208984"
"167-5573r241","1","22","0.0014994144439697266","20","0.03446316719055176"
"114-1429r60","1","11","0.0006089210510253906","9","0.015766382217407227"
"188-9061r160","1","33","0.002132892608642578","30","0.04799628257751465"
"126-5533r475","1","35","0.0013425350189208984","33","0.02021932601928711"
"194-9465r710","1","31","0.0021898746490478516","29","0.049948930740356445"
"25-222r447","1","10","0.00014472007751464844","9","0.0009245872497558594"
"140-2340r635","1","13","0.0008571147918701172","11","0.024131059646606445"
"21-155r600","0","8","0.00011920928955078125","8","0.0007343292236328125"
"96-1239r28","1","11","0.0005352497100830078","9","0.01138162612915039"
"49-775r865","1","15","0.00031638145446777344","14","0.0031347274780273438"
"123-4910r598","1","31","0.0012543201446533203","28","0.020496845245361328"
"149-1899r811","1","11","0.0008270740509033203","9","0.028948545455932617"
"126-2585r616","1","17","0.0008461475372314453","14","0.021587848663330078"
"68-501r883","1","7","0.000400543212890625","6","0.005802631378173828"
"177-9087r304","1","35","0.002131938934326172","33","0.03986787796020508"
"58-417r63","1","7","0.0002715587615966797","6","0.004179239273071289"
"115-4746r823","1","32","0.0011665821075439453","30","0.016960859298706055"
"80-2376r444","1","25","0.0006742477416992188","23","0.008354425430297852"
"170-5439r361","1","23","0.001481771469116211","20","0.03549671173095703"
"138-7348r194","0","41","0.001699209213256836","41","0.024494171142578125"
"151-8251r587","1","42","0.0018982887268066406","39","0.029645681381225586"
"41-355r296","1","9","0.000217437744140625","7","0.002168416976928711"
"66-1109r107","1","14","0.00042366981506347656","13","0.005545616149902344"
"15-47r485","1","4","7.414817810058594e-05","3","0.00040221214294433594"
"114-4912r854","1","34","0.0012288093566894531","32","0.016948223114013672"
"141-9130r670","1","63","0.002015829086303711","62","0.026026248931884766"
"44-562r454","1","12","0.00026869773864746094","11","0.002663850784301758"
"35-522r374","1","17","0.00022459030151367188","16","0.0017063617706298828"
"69-2221r886","1","37","0.0006244182586669922","35","0.00646662712097168"
"74-1906r842","1","23","0.0005600452423095703","20","0.007070302963256836"
"60-1220r931","1","19","0.00042128562927246094","17","0.0047457218170166016"
"53-502r381","1","9","0.00026798248291015625","7","0.0036525726318359375"
"185-14317r650","1","64","0.003056764602661133","58","0.05495047569274902"
"144-3057r77","1","15","0.0009732246398925781","14","0.02455306053161621"
"153-8515r990","1","42","0.002032041549682617","39","0.031050682067871094"
"53-831r93","1","13","0.00032210350036621094","12","0.0038864612579345703"
"150-4331r532","1","21","0.0012269020080566406","18","0.040892839431762695"
"157-11236r988","1","66","0.002476930618286133","64","0.03501391410827637"
"142-658r333","1","5","0.0005674362182617188","4","0.023434877395629883"
"57-1426r859","1","27","0.00045371055603027344","24","0.0049626827239990234"
"143-9569r32","1","67","0.0021283626556396484","66","0.027144670486450195"
"85-2717r710","1","28","0.0007386207580566406","26","0.00936436653137207"
"166-11688r143","1","59","0.0025463104248046875","55","0.0368802547454834"
"64-963r896","1","12","0.000370025634765625","11","0.005187034606933594"
"126-1713r191","1","11","0.0007195472717285156","10","0.01908588409423828"
